galles163:/usr/local/hadoop> bin/hadoop jar /users/waybrd/docmapper.jar /users/waybrd/abstracts /users/waybrd/out
14/10/04 22:33:11 WARN mapred.JobClient: Use GenericOptionsParser for parsing the arguments. Applications should implement Tool for the same.
14/10/04 22:33:11 INFO util.NativeCodeLoader: Loaded the native-hadoop library
14/10/04 22:33:11 WARN snappy.LoadSnappy: Snappy native library not loaded
14/10/04 22:33:12 INFO mapred.FileInputFormat: Total input paths to process : 41116
14/10/04 22:33:24 INFO mapred.JobClient: Running job: job_201410010808_0016
14/10/04 22:33:25 INFO mapred.JobClient:  map 0% reduce 0%
14/10/04 22:34:02 INFO mapred.JobClient:  map 1% reduce 0%
14/10/04 22:34:32 INFO mapred.JobClient:  map 2% reduce 0%
14/10/04 22:35:02 INFO mapred.JobClient:  map 3% reduce 0%
14/10/04 22:35:33 INFO mapred.JobClient:  map 4% reduce 0%
14/10/04 22:36:03 INFO mapred.JobClient:  map 5% reduce 0%
14/10/04 22:36:34 INFO mapred.JobClient:  map 6% reduce 0%
14/10/04 22:36:45 INFO mapred.JobClient:  map 6% reduce 1%
14/10/04 22:36:48 INFO mapred.JobClient:  map 6% reduce 2%
14/10/04 22:37:05 INFO mapred.JobClient:  map 7% reduce 2%
14/10/04 22:37:35 INFO mapred.JobClient:  map 8% reduce 2%
14/10/04 22:38:06 INFO mapred.JobClient:  map 9% reduce 2%
14/10/04 22:38:15 INFO mapred.JobClient:  map 9% reduce 3%
14/10/04 22:38:36 INFO mapred.JobClient:  map 10% reduce 3%
14/10/04 22:39:06 INFO mapred.JobClient:  map 11% reduce 3%
14/10/04 22:39:37 INFO mapred.JobClient:  map 12% reduce 3%
14/10/04 22:39:46 INFO mapred.JobClient:  map 12% reduce 4%
14/10/04 22:40:08 INFO mapred.JobClient:  map 13% reduce 4%
14/10/04 22:40:38 INFO mapred.JobClient:  map 14% reduce 4%
14/10/04 22:41:09 INFO mapred.JobClient:  map 15% reduce 4%
14/10/04 22:41:15 INFO mapred.JobClient:  map 15% reduce 5%
14/10/04 22:41:39 INFO mapred.JobClient:  map 16% reduce 5%
14/10/04 22:42:10 INFO mapred.JobClient:  map 17% reduce 5%
14/10/04 22:42:40 INFO mapred.JobClient:  map 18% reduce 5%
14/10/04 22:42:43 INFO mapred.JobClient:  map 18% reduce 6%
14/10/04 22:43:10 INFO mapred.JobClient:  map 19% reduce 6%
14/10/04 22:43:41 INFO mapred.JobClient:  map 20% reduce 6%
14/10/04 22:44:12 INFO mapred.JobClient:  map 21% reduce 6%
14/10/04 22:44:21 INFO mapred.JobClient:  map 21% reduce 7%
14/10/04 22:44:43 INFO mapred.JobClient:  map 22% reduce 7%
14/10/04 22:45:13 INFO mapred.JobClient:  map 23% reduce 7%
14/10/04 22:45:44 INFO mapred.JobClient:  map 24% reduce 7%
14/10/04 22:45:49 INFO mapred.JobClient:  map 24% reduce 8%
14/10/04 22:46:14 INFO mapred.JobClient:  map 25% reduce 8%
14/10/04 22:46:44 INFO mapred.JobClient:  map 26% reduce 8%
14/10/04 22:47:15 INFO mapred.JobClient:  map 27% reduce 8%
14/10/04 22:47:18 INFO mapred.JobClient:  map 27% reduce 9%
14/10/04 22:47:45 INFO mapred.JobClient:  map 28% reduce 9%
14/10/04 22:48:16 INFO mapred.JobClient:  map 29% reduce 9%
14/10/04 22:48:46 INFO mapred.JobClient:  map 30% reduce 9%
14/10/04 22:48:51 INFO mapred.JobClient:  map 30% reduce 10%
14/10/04 22:49:17 INFO mapred.JobClient:  map 31% reduce 10%
14/10/04 22:49:47 INFO mapred.JobClient:  map 32% reduce 10%
14/10/04 22:50:18 INFO mapred.JobClient:  map 33% reduce 10%
14/10/04 22:50:24 INFO mapred.JobClient:  map 33% reduce 11%
14/10/04 22:50:49 INFO mapred.JobClient:  map 34% reduce 11%
14/10/04 22:51:19 INFO mapred.JobClient:  map 35% reduce 11%
14/10/04 22:51:50 INFO mapred.JobClient:  map 36% reduce 11%
14/10/04 22:51:59 INFO mapred.JobClient:  map 36% reduce 12%
14/10/04 22:52:21 INFO mapred.JobClient:  map 37% reduce 12%
14/10/04 22:52:51 INFO mapred.JobClient:  map 38% reduce 12%
14/10/04 22:53:22 INFO mapred.JobClient:  map 39% reduce 12%
14/10/04 22:53:31 INFO mapred.JobClient:  map 39% reduce 13%
14/10/04 22:53:52 INFO mapred.JobClient:  map 40% reduce 13%
14/10/04 22:54:22 INFO mapred.JobClient:  map 41% reduce 13%
14/10/04 22:54:53 INFO mapred.JobClient:  map 42% reduce 13%
14/10/04 22:55:04 INFO mapred.JobClient:  map 42% reduce 14%
14/10/04 22:55:23 INFO mapred.JobClient:  map 43% reduce 14%
14/10/04 22:55:54 INFO mapred.JobClient:  map 44% reduce 14%
14/10/04 22:56:25 INFO mapred.JobClient:  map 45% reduce 14%
14/10/04 22:56:32 INFO mapred.JobClient:  map 45% reduce 15%
14/10/04 22:56:55 INFO mapred.JobClient:  map 46% reduce 15%
14/10/04 22:57:26 INFO mapred.JobClient:  map 47% reduce 15%
14/10/04 22:57:57 INFO mapred.JobClient:  map 48% reduce 15%
14/10/04 22:58:05 INFO mapred.JobClient:  map 48% reduce 16%
14/10/04 22:58:27 INFO mapred.JobClient:  map 49% reduce 16%
14/10/04 22:58:57 INFO mapred.JobClient:  map 50% reduce 16%
14/10/04 22:59:28 INFO mapred.JobClient:  map 51% reduce 16%
14/10/04 22:59:34 INFO mapred.JobClient:  map 51% reduce 17%
14/10/04 22:59:59 INFO mapred.JobClient:  map 52% reduce 17%
14/10/04 23:00:29 INFO mapred.JobClient:  map 53% reduce 17%
14/10/04 23:01:00 INFO mapred.JobClient:  map 54% reduce 17%
14/10/04 23:01:11 INFO mapred.JobClient:  map 54% reduce 18%
14/10/04 23:01:31 INFO mapred.JobClient:  map 55% reduce 18%
14/10/04 23:02:01 INFO mapred.JobClient:  map 56% reduce 18%
14/10/04 23:02:32 INFO mapred.JobClient:  map 57% reduce 18%
14/10/04 23:02:40 INFO mapred.JobClient:  map 57% reduce 19%
14/10/04 23:03:03 INFO mapred.JobClient:  map 58% reduce 19%
14/10/04 23:03:34 INFO mapred.JobClient:  map 59% reduce 19%
14/10/04 23:04:04 INFO mapred.JobClient:  map 60% reduce 19%
14/10/04 23:04:09 INFO mapred.JobClient:  map 60% reduce 20%
14/10/04 23:04:34 INFO mapred.JobClient:  map 61% reduce 20%
14/10/04 23:05:05 INFO mapred.JobClient:  map 62% reduce 20%
14/10/04 23:05:35 INFO mapred.JobClient:  map 63% reduce 20%
14/10/04 23:05:43 INFO mapred.JobClient:  map 63% reduce 21%
14/10/04 23:06:06 INFO mapred.JobClient:  map 64% reduce 21%
14/10/04 23:06:37 INFO mapred.JobClient:  map 65% reduce 21%
14/10/04 23:07:07 INFO mapred.JobClient:  map 66% reduce 21%
14/10/04 23:07:11 INFO mapred.JobClient:  map 66% reduce 22%
14/10/04 23:07:38 INFO mapred.JobClient:  map 67% reduce 22%
14/10/04 23:08:08 INFO mapred.JobClient:  map 68% reduce 22%
14/10/04 23:08:39 INFO mapred.JobClient:  map 69% reduce 22%
14/10/04 23:08:42 INFO mapred.JobClient:  map 69% reduce 23%
14/10/04 23:09:09 INFO mapred.JobClient:  map 70% reduce 23%
14/10/04 23:09:40 INFO mapred.JobClient:  map 71% reduce 23%
14/10/04 23:10:10 INFO mapred.JobClient:  map 72% reduce 23%
14/10/04 23:10:20 INFO mapred.JobClient:  map 72% reduce 24%
14/10/04 23:10:41 INFO mapred.JobClient:  map 73% reduce 24%
14/10/04 23:11:11 INFO mapred.JobClient:  map 74% reduce 24%
14/10/04 23:11:43 INFO mapred.JobClient:  map 75% reduce 24%
14/10/04 23:11:51 INFO mapred.JobClient:  map 75% reduce 25%
14/10/04 23:12:14 INFO mapred.JobClient:  map 76% reduce 25%
14/10/04 23:12:45 INFO mapred.JobClient:  map 77% reduce 25%
14/10/04 23:13:15 INFO mapred.JobClient:  map 78% reduce 25%
14/10/04 23:13:25 INFO mapred.JobClient:  map 78% reduce 26%
14/10/04 23:13:46 INFO mapred.JobClient:  map 79% reduce 26%
14/10/04 23:14:16 INFO mapred.JobClient:  map 80% reduce 26%
14/10/04 23:14:46 INFO mapred.JobClient:  map 81% reduce 26%
14/10/04 23:14:57 INFO mapred.JobClient:  map 81% reduce 27%
14/10/04 23:15:18 INFO mapred.JobClient:  map 82% reduce 27%
14/10/04 23:15:48 INFO mapred.JobClient:  map 83% reduce 27%
14/10/04 23:16:19 INFO mapred.JobClient:  map 84% reduce 27%
14/10/04 23:16:27 INFO mapred.JobClient:  map 84% reduce 28%
14/10/04 23:16:50 INFO mapred.JobClient:  map 85% reduce 28%
14/10/04 23:17:20 INFO mapred.JobClient:  map 86% reduce 28%
14/10/04 23:17:51 INFO mapred.JobClient:  map 87% reduce 28%
14/10/04 23:18:01 INFO mapred.JobClient:  map 87% reduce 29%
14/10/04 23:18:21 INFO mapred.JobClient:  map 88% reduce 29%
14/10/04 23:18:52 INFO mapred.JobClient:  map 89% reduce 29%
14/10/04 23:19:22 INFO mapred.JobClient:  map 90% reduce 29%
14/10/04 23:19:36 INFO mapred.JobClient:  map 90% reduce 30%
14/10/04 23:19:53 INFO mapred.JobClient:  map 91% reduce 30%
